region,source,image,l_mean,l_median,l_mode,l_max,l_min,l_skew,l_kurt,a_mean,a_median,a_mode,a_max,a_min,a_skew,a_kurt,b_mean,b_median,b_mode,b_max,b_min,b_skew,b_kurt
US,CNN,img_10.jpg,104.552490234375,90.0,9,255,0,0.5325743651085851,-0.6025507063836071,132.28204345703125,133.0,132,155,111,0.01688199542473093,1.3966910535401258,131.4486083984375,130.0,126,175,79,-0.2563495579162118,0.8246095065468455
US,CNN,img_38.jpg,63.14227294921875,42.0,1,251,0,0.9078769192063695,-0.27701995803958646,128.2076416015625,128.0,128,141,118,-0.048813838869317984,0.7072073078774066,128.39056396484375,130.0,130,159,89,-0.864928349223308,0.9484620977547595
US,CNN,img_1.jpg,186.55908203125,184.0,219,248,7,-1.0807879373723877,2.6328294794803497,128.05230712890625,128.0,128,177,122,10.179089505798764,127.5681419707297,121.240478515625,121.0,122,144,117,2.2649840008810544,15.167838362278722
US,CNN,img_0.jpg,110.19793701171875,106.0,54,240,0,0.07657654196408191,-0.9986677838352573,118.9102783203125,120.0,122,166,95,1.0380930827540709,6.17008855221999,116.6556396484375,119.0,126,150,51,-0.5683964354373303,0.515701359657144
US,CNN,img_39.jpg,88.67681884765625,78.0,27,218,1,0.43210615585665196,-1.1324647128224838,135.4306640625,136.0,123,156,116,-0.00855070778390634,-1.5758543330766446,120.450439453125,115.0,98,181,81,0.1838332460804738,-1.4380055883635952
US,CNN,img_11.jpg,142.88409423828125,146.0,241,253,0,-0.20801829789036774,-1.3026686725909495,130.11572265625,129.0,128,161,78,-0.14238576181872406,10.426934109652999,134.85296630859375,135.0,132,198,78,-1.8363118286295843,9.880114843491834
US,CNN,img_13.jpg,83.77532958984375,82.0,7,240,0,0.1915597697698759,-0.9011073611552232,127.76007080078125,128.0,128,155,100,0.5936262066685876,12.213593648330134,126.48052978515625,126.0,125,150,103,1.0739905086626085,2.1941229633857446
US,CNN,img_2.jpg,74.97161865234375,70.0,61,214,0,0.4200825723578123,-0.19564872536819156,128.75201416015625,128.0,128,144,120,1.7520354684158872,4.4406265390242705,131.89898681640625,132.0,131,151,118,0.3978405902383589,0.6690009326147202
US,CNN,img_3.jpg,59.8402099609375,47.0,27,251,0,1.3315704880328019,1.44855738692761,133.72393798828125,134.0,130,173,87,-0.3529100795930129,5.503346710314922,126.02874755859375,126.0,126,176,83,-0.0027638215581929017,1.4320849197247805
US,CNN,img_16.jpg,131.13134765625,143.0,151,254,0,-0.3370907204815305,-0.9219589838610642,129.68756103515625,129.0,130,159,120,1.4436997519564672,8.153977378390582,132.60211181640625,132.0,131,168,98,0.2481456353153663,1.158075894967551
US,CNN,img_7.jpg,97.900146484375,96.0,45,251,0,0.266948745172848,-0.7842150427032144,129.19677734375,128.0,128,193,115,4.495012057129596,39.61540388123828,129.5914306640625,129.0,124,188,82,1.8676857624195395,13.376470491083332
US,CNN,img_6.jpg,50.26995849609375,45.0,7,240,0,1.6300865528690547,2.8655359177559037,127.5906982421875,128.0,128,152,115,0.7646086810600039,0.6139763669254124,131.02374267578125,131.0,130,171,100,0.41866057611047597,5.448483311673307
US,CNN,img_17.jpg,120.8409423828125,119.0,247,255,1,0.2577679665304654,-1.1208152492977979,134.09918212890625,131.0,128,199,103,3.0335345776647125,11.523399589022793,132.02191162109375,132.0,126,190,65,-0.494624113954668,5.296028448759154
US,CNN,img_29.jpg,87.23272705078125,79.0,6,253,0,0.3913611593701255,-1.2065688672087969,132.28961181640625,132.0,130,160,114,0.4906210219216596,0.9309642157836868,126.71453857421875,126.0,126,180,78,-0.08931414744896284,0.10622544039061621
US,CNN,img_15.jpg,126.47247314453125,136.0,40,255,0,-0.1318377728195314,-1.2548086999138124,130.678955078125,131.0,132,157,117,1.144108382770619,3.7666823886625664,131.336669921875,133.0,138,155,75,-1.5518644791097387,4.395363559227752
US,CNN,img_4.jpg,126.51702880859375,129.0,137,254,0,-0.01529761901887411,-0.24265866000810554,128.58599853515625,128.0,128,175,107,1.1372174187737714,13.047329199919357,129.827880859375,129.0,125,199,107,2.095129570473992,9.241407179434809
US,CNN,img_5.jpg,70.8084716796875,70.0,27,255,0,0.5859647933487935,0.49450515765440395,129.83294677734375,130.0,130,149,120,1.3583576113030837,4.967582177034248,130.77728271484375,129.0,125,164,115,1.4926865180022513,2.396541756608655
US,CNN,img_14.jpg,70.54345703125,52.0,0,249,0,0.6708711802495815,-0.7837845203803275,133.9989013671875,129.0,128,204,106,2.790129503819887,7.668736133788267,130.748779296875,127.0,126,178,98,1.2422174367926093,2.120726851856552
US,CNN,img_28.jpg,40.56201171875,16.0,5,252,0,1.8407096872721862,3.210385223206055,129.0660400390625,128.0,128,147,107,-0.24109436449349259,5.457365594526866,128.71160888671875,128.0,130,154,106,0.5735786152715752,1.9879480989664007
US,CNN,img_98.jpg,81.26947021484375,71.0,54,251,0,0.941901341879998,0.6557815068953237,137.730224609375,140.0,144,162,110,-0.9343525217021722,0.6712566153086583,145.7557373046875,149.0,154,199,67,-0.14771383932454268,1.0389799806311064
US,CNN,img_73.jpg,88.20147705078125,100.0,1,254,0,-0.5771936427352127,-0.6105128262726995,128.422607421875,128.0,128,178,122,7.329606915417459,91.23290571078209,128.901123046875,129.0,128,147,98,-0.44072328963482743,3.8377976311515027
US,CNN,img_67.jpg,154.07989501953125,179.0,226,255,0,-0.4549332185613003,-1.2515365091994317,127.865478515625,128.0,127,140,97,-1.878901429663851,37.980254093710144,126.20465087890625,125.0,123,139,114,0.3131232009266489,-0.5159750060056876
US,CNN,img_66.jpg,49.82958984375,38.0,2,235,0,0.8329255414803926,0.0528371308944946,130.3724365234375,128.0,128,180,109,3.454338851923392,14.793701255633511,128.65533447265625,128.0,126,166,114,1.7139835362495968,6.41569015480837
US,CNN,img_72.jpg,133.84039306640625,147.0,237,255,0,-0.15077475452223918,-1.5364186394828705,129.060546875,128.0,128,186,109,2.564512457158942,15.335773158759743,128.79791259765625,126.0,124,199,56,0.8327703719998443,4.19445742452652
US,CNN,img_99.jpg,96.71337890625,75.0,54,254,0,0.4843682714476387,-1.026523017203728,145.14996337890625,142.0,130,199,101,0.9598300847302709,0.7846051884859038,130.24481201171875,130.0,181,189,63,-0.12347860131426747,-1.0152280372277047
US,CNN,img_64.jpg,102.81658935546875,110.0,7,252,0,-0.12451608848488907,-0.8496018620787882,129.47845458984375,129.0,128,155,102,0.11612956661480153,0.940571540271633,113.2227783203125,114.0,126,200,64,0.5260952852527262,0.502541517790176
US,CNN,img_70.jpg,109.0858154296875,96.0,9,255,0,0.18442842175036528,-1.3353089011460844,136.26611328125,134.0,128,169,118,0.6305456626714763,-0.6738694869770736,138.14117431640625,138.0,126,181,85,0.11408931949744487,0.12390868194206694
US,CNN,img_58.jpg,118.79766845703125,121.0,135,251,6,0.12904615663983324,-0.0451062897076282,126.5343017578125,123.0,119,153,114,0.9119035327277982,-0.13047159688998278,128.4012451171875,126.0,125,181,77,0.009671414480704328,1.1863951967908726
US,CNN,img_59.jpg,114.76043701171875,111.0,12,252,0,0.06847920071431159,-1.3629335530352416,132.77197265625,132.0,132,161,112,1.126886427150335,3.994099421889752,133.46044921875,133.0,133,199,79,0.6189290214491844,4.02509197787488
US,CNN,img_71.jpg,117.5606689453125,109.0,77,255,0,0.4628384083764716,-0.23639750206565502,127.15350341796875,127.0,128,140,117,-0.32084096822672387,7.249477965135185,129.4249267578125,129.0,131,169,108,1.8692188921064232,8.538430693860061
US,CNN,img_65.jpg,96.729736328125,86.0,61,255,0,0.9579521141848497,0.7203425532792949,128.64739990234375,128.0,128,146,114,0.3034261136965553,6.420241370033088,129.23175048828125,129.0,128,149,112,0.6149664693320879,2.3303281207154596
US,CNN,img_49.jpg,82.4407958984375,74.0,42,226,0,0.3987800786647514,-0.8570351097287507,131.07574462890625,131.0,132,143,124,0.38499456472241467,1.3840094438072361,128.60247802734375,130.0,131,162,103,-1.922150390294365,4.056071082961762
US,CNN,img_61.jpg,91.42291259765625,65.0,252,255,0,1.0531096765633494,-0.296666437825023,125.7703857421875,126.0,126,163,114,1.6606952282949774,11.008291779207658,127.05560302734375,126.0,126,190,77,2.5124358955008184,11.101321200371391
US,CNN,img_75.jpg,111.67974853515625,112.0,2,255,0,0.11790686205078942,-0.9690909997448269,127.8623046875,128.0,128,156,99,0.23827332088877062,7.7195919526948344,128.46636962890625,128.0,126,174,98,-0.10551311183482755,0.4994441438691708
US,CNN,img_74.jpg,66.33685302734375,52.0,27,255,0,0.788785552460273,0.039798436372987744,131.03985595703125,130.0,130,175,116,3.6327168260765093,16.32933207038735,125.28729248046875,125.0,125,204,107,3.743664555892968,18.315397087471258
US,CNN,img_60.jpg,50.5908203125,34.0,1,215,0,1.0241663663356317,0.09459697659445743,128.58251953125,128.0,128,158,111,2.180809334301447,7.050718094683861,131.30157470703125,130.0,130,174,95,0.2497426885082718,1.6936169702542703
US,CNN,img_48.jpg,90.65594482421875,56.0,1,255,0,0.7144333728909521,-0.9119169053619398,130.65447998046875,130.0,130,182,107,2.2109694042113603,7.868146018705081,135.87677001953125,128.0,125,219,70,1.4723982017969988,3.073790103477198
US,CNN,img_89.jpg,96.80596923828125,92.0,33,247,0,0.30104732750229446,-1.106558826425388,131.94866943359375,130.0,130,164,112,2.4784119924321093,6.771372006352255,137.57354736328125,134.0,131,180,125,1.8471681836622638,3.0689888462446993
US,CNN,img_76.jpg,102.98480224609375,105.0,36,255,0,0.46823974421203957,-0.31364215868113865,142.23876953125,143.0,130,169,113,-0.031198855568579074,-0.9813946488138829,93.7144775390625,103.0,60,156,53,0.17692028578368518,-1.3886080570167547
US,CNN,img_62.jpg,115.0252685546875,105.0,27,254,0,0.06327083321206864,-1.50526593766484,133.63427734375,127.0,127,181,99,1.1790942803619902,0.3449509217127784,117.49078369140625,119.0,122,207,46,0.3651294982740442,0.3575809361098483
US,CNN,img_63.jpg,76.50408935546875,70.0,5,246,0,0.635462682707663,-0.214905204416183,126.927978515625,126.0,126,150,115,1.3995251621923968,2.0916774403402263,133.442138671875,135.0,136,156,109,-0.40209291565866684,1.8869522180946117
US,CNN,img_77.jpg,81.57427978515625,70.0,2,252,0,0.49003828026632523,-0.8824732107693718,128.29193115234375,128.0,128,139,115,-0.9243767779896601,1.5437344398727042,132.4263916015625,132.0,130,167,102,-0.17021638473906314,2.09795408412346
US,CNN,img_88.jpg,118.83740234375,112.0,251,254,0,0.32738089667394277,-0.7842573727856283,128.7423095703125,128.0,126,159,97,-0.08687666072718842,2.539612578605361,123.33880615234375,125.0,135,185,67,-0.920010196048257,1.476246665259663
